"Measure","Income bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","K02000001","5","%","215"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","Indian","ONS 5+2","K02000001","8","%","976"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","Mixed","ONS 5+2","K02000001","4","%","499"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","Other","ONS 5+2","K02000001","5","%","490"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","K02000001","5","%","596"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","White","ONS 5+2","K02000001","5","%","53146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","White British","ONS 5+2","K02000001","5","%","50523"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","White other","ONS 5+2","K02000001","6","%","2623"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","All","ONS 5+2","K02000001","4","%","57814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","Asian other","ONS 5+2","K02000001","4","%","361"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","Asian","ONS 5+2","K02000001","4","%","2391"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","K02000001","4","%","243"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","Black","ONS 5+2","K02000001","3","%","1288"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","K02000001","6","%","215"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","Indian","ONS 5+2","K02000001","6","%","976"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","Mixed","ONS 5+2","K02000001","4","%","499"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","Other","ONS 5+2","K02000001","5","%","490"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","K02000001","2","%","596"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","White","ONS 5+2","K02000001","4","%","53146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","White British","ONS 5+2","K02000001","4","%","50523"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2015/16-2017/18","Three-year average","White other","ONS 5+2","K02000001","4","%","2623"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","All","ONS 5+2","K02000001","3","%","57814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","Asian other","ONS 5+2","K02000001","5","%","361"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","Asian","ONS 5+2","K02000001","3","%","2391"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","243"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","Black","ONS 5+2","K02000001","2","%","1288"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","K02000001","2","%","215"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","Indian","ONS 5+2","K02000001","3","%","976"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","Mixed","ONS 5+2","K02000001","2","%","499"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","Other","ONS 5+2","K02000001","2","%","490"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","K02000001","2","%","596"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","White","ONS 5+2","K02000001","3","%","53146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","White British","ONS 5+2","K02000001","3","%","50523"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2015/16-2017/18","Three-year average","White other","ONS 5+2","K02000001","3","%","2623"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","All","ONS 5+2","K02000001","2","%","57814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","Asian other","ONS 5+2","K02000001","3","%","361"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","Asian","ONS 5+2","K02000001","2","%","2391"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","243"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","Black","ONS 5+2","K02000001","1","%","1288"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","K02000001","2","%","215"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","Indian","ONS 5+2","K02000001","3","%","976"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","Mixed","ONS 5+2","K02000001","2","%","499"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","Other","ONS 5+2","K02000001","1","%","490"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","K02000001","2","%","596"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","White","ONS 5+2","K02000001","2","%","53146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2015/16-2017/18","Three-year average","White British","ONS 5+2","K02000001","2","%","50523"
